,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_4014,25.6,1000000100110,23.7,23.2,23.2,25.6,23.2,23.2,23.2,23.7,23.2,23.2,21.0,23.7,23.2,0110111011101
SPC_4015,26.2,0111110111001,26.2,24.4,21.7,24.4,24.4,21.7,23.9,24.4,21.7,21.7,23.9,23.9,21.7,0010011011111
SPC_4016,25.9,0001100000110,25.9,23.5,23.5,24.0,21.3,25.9,23.5,23.5,23.5,23.5,24.0,21.3,25.9,0110101111010
SPC_4017,24.3,0101101101010,24.3,19.3,24.3,22.2,22.2,24.3,22.2,22.2,21.7,19.3,24.3,19.3,21.7,0100000011011
SPC_4018,26.0,0100000011111,23.6,24.1,26.0,26.0,26.0,26.0,23.6,26.0,21.3,24.1,24.1,24.1,21.3,1000001010001
SPC_4019,23.9,0101010000101,23.9,21.9,21.3,21.9,21.3,21.9,23.9,23.9,23.9,23.9,21.9,21.3,21.9,0010100000010
SPC_4020,25.1,0110111001100,25.1,20.3,20.3,25.1,23.1,23.1,23.1,22.6,22.6,23.1,23.1,25.1,22.6,0110000110001
SPC_4021,24.1,0101011001001,24.1,22.1,24.1,19.1,24.1,22.1,19.1,24.1,24.1,19.1,24.1,21.5,22.1,0001001001010
SPC_4022,28.3,0111000111111,28.3,24.1,24.1,26.6,28.3,26.1,26.1,24.1,26.6,26.6,24.1,24.1,26.6,0110011100110
SPC_4023,27.9,0101100110000,27.9,23.7,25.7,26.2,23.7,27.9,25.7,26.2,26.2,27.9,25.7,25.7,27.9,0110101000110
SPC_4024,24.4,0101110000011,24.4,22.4,24.4,19.5,22.4,22.4,24.4,24.4,21.9,21.9,21.9,19.5,19.5,0001000011111
SPC_4025,24.6,0001100000101,24.6,24.6,24.6,19.7,22.6,22.0,24.6,24.6,22.0,24.6,22.6,24.6,19.7,0001010010001
SPC_4026,25.2,0100110101101,25.2,23.2,22.7,25.2,23.2,20.4,22.7,23.2,22.7,20.4,20.4,25.2,23.2,0010011011100
SPC_4027,26.6,0110000110111,26.6,22.1,22.1,26.6,26.6,26.6,26.6,22.1,22.1,26.6,24.7,24.7,24.7,0110000110000
SPC_4028,26.2,0100111001010,26.2,24.3,23.8,23.8,24.3,24.3,21.7,26.2,26.2,24.3,26.2,21.7,23.8,0011001000011
SPC_4029,25.0,1000000100100,23.0,25.0,22.5,22.5,22.5,22.5,25.0,20.2,22.5,25.0,20.2,22.5,22.5,0011110110111
SPC_4030,25.2,0111101111100,22.7,23.2,23.2,23.2,23.2,25.2,20.4,23.2,23.2,20.4,23.2,25.2,22.7,1000001001001
SPC_4031,25.3,0110101101000,25.3,20.6,23.4,25.3,20.6,22.9,20.6,20.6,25.3,23.4,25.3,22.9,25.3,0100111100010
SPC_4032,25.6,0111111010100,25.6,23.7,23.7,23.7,20.9,23.7,20.9,23.1,20.9,23.1,20.9,25.6,23.1,0000101111101
SPC_4033,26.8,0101011100101,26.8,25.0,24.5,22.4,26.8,22.4,25.0,25.0,26.8,26.8,25.0,24.5,25.0,0011010000010
SPC_4034,22.6,0001110001100,22.6,19.9,19.9,17.4,17.4,20.5,22.6,22.6,19.9,20.5,20.5,22.6,22.6,0111100010000
SPC_4035,24.5,0100100111100,24.5,22.5,24.5,22.0,22.5,22.0,22.0,19.6,22.5,19.6,19.6,24.5,24.5,0001011101100
SPC_4036,24.9,0001000010111,24.9,22.4,24.9,22.9,22.4,24.9,22.4,24.9,20.1,22.4,20.1,20.1,20.1,0100101011111
SPC_4037,28.0,0000101100101,28.0,28.0,28.0,25.8,23.8,28.0,23.8,23.8,28.0,28.0,26.3,28.0,26.3,0001101100000
SPC_4038,24.7,0000101100100,24.7,24.7,24.7,22.1,22.7,24.7,22.7,22.7,24.7,24.7,19.8,24.7,22.1,0001000000101
SPC_4039,22.6,0100100100101,22.6,20.4,19.9,19.9,17.3,22.6,22.6,17.3,22.6,19.9,17.3,19.9,17.3,0011100101111
SPC_4040,26.6,0011001010000,26.6,24.2,22.1,24.7,26.6,26.6,22.1,26.6,24.7,26.6,26.6,26.6,24.2,0110001000001
SPC_4041,24.7,0000101110110,24.7,22.2,24.7,24.7,22.7,22.2,19.9,19.9,22.7,22.2,19.9,19.9,22.2,0100011101111
SPC_4042,23.8,0110111110011,23.8,18.8,21.7,23.8,21.7,21.7,18.8,21.7,18.8,23.8,21.2,21.7,18.8,0100001010101
SPC_4043,22.9,0001101100100,22.9,20.2,20.2,20.8,17.7,22.9,17.7,17.7,22.9,22.9,17.7,22.9,20.2,0110101100101
SPC_4044,26.8,0101010011101,26.8,25.0,26.8,25.0,24.5,22.4,24.5,26.8,25.0,25.0,22.4,26.8,22.4,0000111000101
SPC_4045,27.4,0011000101011,27.4,25.1,25.6,23.1,25.1,25.1,27.4,23.1,27.4,23.1,27.4,23.1,25.6,0101110101010
SPC_4046,25.6,0000010110100,25.6,23.1,25.6,23.1,23.1,20.9,25.6,20.9,20.9,25.6,20.9,25.6,25.6,0101110110100
SPC_4047,24.5,0011000000111,24.5,24.5,22.5,22.5,22.0,22.0,22.0,22.0,22.0,24.5,19.6,22.5,19.6,0000111110101
SPC_4048,25.7,0000101011111,25.7,23.2,25.7,25.7,21.0,23.2,23.8,25.7,21.0,21.0,21.0,23.8,21.0,0100110011101
